Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,Date Last Drug Tested,E Mail,Date of Birth,Date Hired,Salary,Last % Hike,SSN,Phone No. ,County,City,State,Zip Code,User Name,Password,
850297,Ms.,Shawna,W,Buck,F,9/16/2020,shawna.buck@gmail.com,12/12/1971,12/18/2010,119090,0.17,222-11-7603,702-771-7149,Clark,Las Vegas,NV,89128,swbuck,ja8?k3BTF^]o@<&,
304721,Mr.,Nathaniel,Z,Burke,M,8/18/2020,nathaniel.burke@walmart.com,10/31/1993,4/25/2017,117991,0.14,550-99-9897,231-765-6923,Lake,Irons,MI,49644,nzburke,tPA@4Wh9Ja$+Ln,
412317,Drs.,Elisabeth,W,Foster,F,8/11/2020,elisabeth.foster@gmail.com,11/26/1994,3/27/2017,161045,0.28,215-91-0004,270-749-4774,Fayette,Lexington,KY,40501,ewfoster,5D.B4IGNkWJfG<~,
621375,Mrs.,Briana,C,Lancaster,F,4/8/2020,briana.lancaster@yahoo.com,11/24/1975,2/25/2003,142616,0.16,534-71-1053,219-623-8216,Lake,Munster,IN,46321,bclancaster,I%?JDM;pW,
787549,Hon.,Estella,L,Potter,F,1/17/2020,estella.potter@gmail.com,3/13/1995,10/11/2016,135706,0.11,644-29-6396,907-677-8486,Fairbanks North Star,Fairbanks,AK,99709,elpotter,j4jkEXfC&Rh,
520092,Mr.,Lamont,L,Woods,M,4/8/2020,lamont.woods@hotmail.com,10/13/1991,11/27/2014,173027,0.17,037-74-2595,236-597-8196,Loudoun,Purcellville,VA,20134,llwoods,8tf/YU}>s,
795934,Ms.,Melinda,L,Lopez,F,12/26/2019,melinda.lopez@hotmail.com,9/15/1984,11/22/2005,41287,0.04,541-83-6362,210-396-1493,Chambers,Stowell,TX,77661,mllopez,hf*&Gcb[,
159108,Mrs.,Shanna,U,Silva,F,8/20/2020,shanna.silva@gmail.com,6/19/1958,10/23/1999,85833,0.13,673-48-7003,236-373-6712,Fairfax,Herndon,VA,20171,susilva,oudj2Bq4vc2_{PU,
330816,Ms.,Jasmine,J,Freeman,F,12/23/2019,jasmine.freeman@gmail.com,8/31/1961,2/1/1983,154216,0.01,600-99-8437,423-796-1535,Polk,Ocoee,TN,37361,jjfreeman,Q.8<Q>K*H\*6f,
532002,Ms.,Madge,V,Sargent,F,6/21/2020,madge.sargent@aol.com,10/2/1981,4/13/2006,133003,0.2,177-86-7347,217-910-0644,Sangamon,Springfield,IL,62712,mvsargent,bc\&B81h,
612850,Ms.,Bethany,Z,Cline,F,3/17/2020,bethany.cline@yahoo.ca,10/1/1986,4/19/2008,154836,0.21,700-18-6519,215-970-5881,Lycoming,Montgomery,PA,17752,bzcline,6wvl^0+zl.b/1,
483751,Prof.,Reid,F,Randolph,M,12/27/2019,reid.randolph@gmail.com,1/20/1989,4/8/2017,124757,0.17,343-11-4951,209-996-8902,Los Angeles,Pacoima,CA,91331,rfrandolph,Uc@^[]cqnZs,
252938,Hon.,Antoine,H,Wiley,M,9/2/2020,antoine.wiley@verizon.net,2/22/1996,4/18/2017,58733,0.24,078-02-8772,503-361-6334,Clackamas,Canby,OR,97013,ahwiley,r~4%7~uU|I<4CJ,
966375,Dr.,Mathew,O,Hodge,M,9/25/2019,mathew.hodge@hotmail.com,7/5/1995,11/11/2016,75584,0.14,161-86-9547,209-294-7430,Los Angeles,Van Nuys,CA,91404,mohodge,1E7oKc:M!cKsgq,
707520,Mr.,Bernardo,L,Austin,M,10/3/2019,bernardo.austin@hotmail.com,2/2/1975,1/26/2005,118693,0.15,143-23-9034,319-716-4227,Marion,Knoxville,IA,50197,blaustin,S:An&6n%>s!,
